SchoolId	ProvinceId	MajorId	FacultyId	GroupId	Year	Cost	CountStudent	AvgEMark	AvgAMark
1	1	7510202C	11		2014		1	21.5	0.68000000699999996
1	1	7510301C	11		2018		1	29.75	8.2600002289999992
1	1	7510301A	11		2011		1	16.25	5.3200001720000003
1	1	7510303C	11		2014		1	21.75	6.170000076
1	1	7510206A	11		2012		1	28.5	2.369999886
1	1	7580302	6		2019		1	22.25	8.2700004580000002
1	1	7480201	2		2020		1	18.25	0.12999999500000001
1	1	7520117	5		2020		1	18.25	4.0500001909999996
2	1	7480108C	11		2010		1	24.25	9.2100000380000004
2	1	7140231	10	4	2016	1500000	1	22.75	4.4299998279999997
2	1	7540101A	11		2018		1	22.5	5.9099998469999999
2	1	7580205	6		2019		1	26.25	2.5199999809999998
2	1	7580302	6		2019		1	22.75	5.9099998469999999
2	1	7480201A	11		2017		1	19.75	1.1499999759999999
2	1	7510205	4		2012		1	23.25	6.7300000190000002
2	1	7510102C	11	14	2020	2000000	1	20.5	7.9499998090000004
2	1	7520117	5		2015		1	21.5	2.7599999899999998
3	1	7510301C	11		2017		1	18.25	8.5799999239999991
3	1	7210403	3		2018		1	26.25	5.0599999430000002
3	1	7480201	2		2012		1	25.5	5.829999924
3	1	7340122	8		2012		1	19.5	3.1900000569999998
3	1	7510102	6		2013		1	20.75	0.56999999300000004
3	1	7480203	2		2014		1	17.25	2.3499999049999998
3	1	7510203C	11		2013		1	24.5	1.559999943
3	1	7510303C	11		2018		1	26.75	2.3900001049999999
3	1	7510801	3		2015		1	20.5	0.189999998
4	1	7220201	10		2014		1	15.5	9.2700004580000002
4	1	7510203C	11		2017		1	15.5	0.91000002599999996
4	1	7510302N	11		2011		1	18.5	9.1300001139999996
4	1	7480201C	11		2020		1	24.5	3.380000114
4	1	7510601A	11		2018		1	29.75	3.289999962
4	1	7510202A	11		2015		1	23.75	1.9500000479999999
4	1	7520212	1		2019		1	24.75	9.9300003050000001
4	1	7549002	5		2020		1	28.25	7.2699999809999998
4	1	7340301C	11		2011		1	25.75	9.9399995800000003
4	1	7480201C	11		2012		1	29.5	7.9499998090000004
4	1	7510202A	11		2011		1	25.75	2.0199999809999998
4	1	7510206C	11		2010		1	26.25	1.8300000430000001
4	1	7510402	12		2017		1	24.75	6.670000076
4	1	7520117	5		2014		1	29.75	8.4399995800000003
5	1	7510102	6		2012		1	22.75	6.4499998090000004
